id;title;price;promo_price;url;city
3198186;Сумочка Laffi Фламинго Розовый 159;699;1199;https://www.detmir.ru/product/index/id/3198186/;MOSCOW
3344252;Подушка-антистресс Штучки к которым тянутся ручки Тигр Оранжевый 19асв02ив-5;981;1499;https://www.detmir.ru/product/index/id/3344252/;MOSCOW
3208520;Тапочки Nici Гармония Розовые 44374;789;2499;https://www.detmir.ru/product/index/id/3208520/;MOSCOW
4047203;Шапка Uniglodis Светодиодная с подвижными ушками Котик с бантиком цвет голубой;557;1743;https://www.detmir.ru/product/index/id/4047203/;MOSCOW
3971005;Поясная сумка BUDI BASA детская Li-li Baby BUDI BASA;1343;2686;https://www.detmir.ru/product/index/id/3971005/;MOSCOW
4460975;Шапка Seichi Светодиодная с подвижными ушками Котик с бантиком цвет розовый;340;2004;https://www.detmir.ru/product/index/id/4460975/;MOSCOW
4906834;Мягкая игрушка Panawealth International Хаги Ваги рюкзак синий;598;;https://www.detmir.ru/product/index/id/4906834/;MOSCOW
4052949;Шапка Uniglodis Светодиодная с подвижными ушками Корпорация монстров Салливан;263;1756;https://www.detmir.ru/product/index/id/4052949/;MOSCOW
3810370;Шапка Uniglodis светодиодная с подвижными ушками розовая;286;1687;https://www.detmir.ru/product/index/id/3810370/;MOSCOW
4310756;Рюкзак Fluffy Family Зайка;968;1019;https://www.detmir.ru/product/index/id/4310756/;MOSCOW
3785358;Шапка Uniglodis с подвижными ушами Обезьянка Uniglodis;251;1678;https://www.detmir.ru/product/index/id/3785358/;MOSCOW
3492041;Игрушка-грелка Warmies Large Marshmallow Мишка;2312;2890;https://www.detmir.ru/product/index/id/3492041/;MOSCOW
3699371;Сумочка Fluffy Family Лама;968;1019;https://www.detmir.ru/product/index/id/3699371/;MOSCOW
4825028;Мягкая игрушка рюкзак BalaToys Киси Миси;800;1000;https://www.detmir.ru/product/index/id/4825028/;MOSCOW
4813378;Подушка Спайк BrawlStars Диаметр 25 см;985;1699;https://www.detmir.ru/product/index/id/4813378/;MOSCOW
3668510;Сумочка Fluffy Family Щенок Fluffy Family;797;839;https://www.detmir.ru/product/index/id/3668510/;MOSCOW
3492022;Игрушка-грелка Warmies Large Marshmallow Ленивец;2312;2890;https://www.detmir.ru/product/index/id/3492022/;MOSCOW
4674271;Игрушка мягкая Штучки к которым тянутся ручки Утка;699;969;https://www.detmir.ru/product/index/id/4674271/;MOSCOW
4512501;Браслет Acoola 2 шт;350;539;https://www.detmir.ru/product/index/id/4512501/;MOSCOW
4052957;Шапка Uniglodis Светодиодная с подвижными ушками Цыплёнок;276;1846;https://www.detmir.ru/product/index/id/4052957/;MOSCOW
3492048;Совенок-грелка Warmies Снежный;2312;2890;https://www.detmir.ru/product/index/id/3492048/;MOSCOW
3492020;Игрушка-грелка Warmies Large Лисичка;2312;2890;https://www.detmir.ru/product/index/id/3492020/;MOSCOW
3344240;Подушка-антистресс Штучки к которым тянутся ручки Хомяк Бежевый 16асп09ив-6;499;;https://www.detmir.ru/product/index/id/3344240/;MOSCOW
